"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"87",61,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,13,0,0,"Molossus molossus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Molossus molossus","Molossus molossus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","283","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.135274881489286,0.0185185185185185,0,"Molossus molossus","Molossus molossus","MOLOSSIDAE"
"88",62,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,3,0,0,"Eptesicus furinalis","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Eptesicus furinalis","Eptesicus furinalis","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","284","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.261799387799149,0.0714285714285714,0,"Eptesicus furinalis","Eptesicus furinalis","VESPERTILIONIDAE"
"89",63,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,3,0,0,"Eptesicus furinalis","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Eptesicus furinalis","Eptesicus furinalis","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","285","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.261799387799149,0.0714285714285714,0,"Eptesicus furinalis","Eptesicus furinalis","VESPERTILIONIDAE"
"90",64,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,3,0,0,"Eptesicus furinalis","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Eptesicus furinalis","Eptesicus furinalis","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","286","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.261799387799149,0.0714285714285714,0,"Eptesicus furinalis","Eptesicus furinalis","VESPERTILIONIDAE"
"91",66,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Myotis nigricans","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Myotis nigricans","Myotis nigricans","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","287","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Myotis nigricans","Myotis nigricans","VESPERTILIONIDAE"
"92",67,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Myotis nigricans","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Myotis nigricans","Myotis nigricans","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","288","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Myotis nigricans","Myotis nigricans","VESPERTILIONIDAE"
"93",68,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Myotis nigricans","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Myotis nigricans","Myotis nigricans","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","289","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Myotis nigricans","Myotis nigricans","VESPERTILIONIDAE"
"94",69,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,3,0,0,"Artibeus planirostris","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Artibeus planirostris","Artibeus planirostris","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","290","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.261799387799149,0.0714285714285714,0,"Artibeus planirostris","Artibeus planirostris","PHYLLOSTOMIDAE"
"95",70,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,3,0,0,"Artibeus planirostris","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Artibeus planirostris","Artibeus planirostris","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","291","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.261799387799149,0.0714285714285714,0,"Artibeus planirostris","Artibeus planirostris","PHYLLOSTOMIDAE"
"96",71,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,3,0,0,"Artibeus planirostris","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Artibeus planirostris","Artibeus planirostris","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","292","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.261799387799149,0.0714285714285714,0,"Artibeus planirostris","Artibeus planirostris","PHYLLOSTOMIDAE"
"97",72,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Carollia perspicillata","Carollia perspicillata","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","293","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Carollia perspicillata","Carollia perspicillata","PHYLLOSTOMIDAE"
"98",73,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Carollia perspicillata","Carollia perspicillata","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","294","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Carollia perspicillata","Carollia perspicillata","PHYLLOSTOMIDAE"
"99",74,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Carollia perspicillata","Carollia perspicillata","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","295","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Carollia perspicillata","Carollia perspicillata","PHYLLOSTOMIDAE"
"100",76,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,2,0,0,"Vampyressa pussilla","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Vampyressa pusilla","Vampyressa pusilla","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","296","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.307739854335194,0.1,0,"Vampyressa pusilla","Vampyressa pusilla","PHYLLOSTOMIDAE"
"101",77,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,2,0,0,"Vampyressa pussilla","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Vampyressa pusilla","Vampyressa pusilla","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","297","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.307739854335194,0.1,0,"Vampyressa pusilla","Vampyressa pusilla","PHYLLOSTOMIDAE"
"102",78,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,2,0,0,"Vampyressa pussilla","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Vampyressa pusilla","Vampyressa pusilla","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","298","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.307739854335194,0.1,0,"Vampyressa pusilla","Vampyressa pusilla","PHYLLOSTOMIDAE"
"103",75,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Platyrrhinus lineatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Platyrrhinus lineatus","Platyrrhinus lineatus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","299","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Platyrrhinus lineatus","Platyrrhinus lineatus","PHYLLOSTOMIDAE"
"104",81,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Platyrrhinus lineatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Platyrrhinus lineatus","Platyrrhinus lineatus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","300","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Platyrrhinus lineatus","Platyrrhinus lineatus","PHYLLOSTOMIDAE"
"105",82,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,0,0,"Platyrrhinus lineatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine",NA,NA,NA,NA,NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Platyrrhinus lineatus","Platyrrhinus lineatus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","301","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.392699081698724,0.166666666666667,0,"Platyrrhinus lineatus","Platyrrhinus lineatus","PHYLLOSTOMIDAE"
