"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies"
"965",1094,"insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany","Fischer et al.","Infect Genet Evol",2016,22,2,0.090909,"Pipistrellus nathusii","alphacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"""saliva, faeces, and urine samples""","Germany","N","Mecklenburg Western Pomerania","","NA","NA","","2012","July",2013,"July","","Year",NA,"N","Y, bat boxes in forest","Y, AstV, PmV, CoV","","VERENA Admin","4/12/2022 2:18pm","pooled swabs/samples","pooled","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Pipistrellus nathusii","Pipistrellus nathusii","insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany"
"967",1096,"insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany","Fischer et al.","Infect Genet Evol",2016,12,2,0.166667,"Pipistrellus pygmaeus","alphacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"""saliva, faeces, and urine samples""","Germany","N","Mecklenburg Western Pomerania","","NA","NA","","2012","July",2013,"July","","Year",NA,"N","Y, bat boxes in forest","Y, AstV, PmV, CoV","","VERENA Admin","4/12/2022 2:18pm","pooled swabs/samples","pooled","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany"
"968",1097,"insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany","Fischer et al.","Infect Genet Evol",2016,74,6,0.081081,"Myotis nattereri","alphacoronavirus","","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"""saliva, faeces, and urine samples""","Germany","N","North Rhine Westphalia","","NA","NA","2014","","July",NA,"September","","Summer,Fall",NA,"N","Y, cow barns","Y, AstV, PmV, CoV","","VERENA Admin","4/12/2022 2:18pm","pooled swabs/samples","pooled","1","1","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis nattereri","Myotis nattereri","insectivorous bats carry host specific astroviruses and coronaviruses across different regions in germany"
"987",2920,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,25,1,0.04,"Taphozous perforates","alphacoronavirus","","","","bovine respiratory CoV or Kenya bat CoV BtKY86","single","cross-sectional","RNA","PCR","single","RdRp",NA,"fecal pellets","Saudi Arabia","N","Bisha","Bisha ruins","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Taphozous perforatus","Taphozous perforatus","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"990",1131,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,10,1,0.1,"Taphozous perforates","alphacoronavirus","","","","bovine respiratory CoV or Kenya bat CoV BtKY86","single","cross-sectional","RNA","PCR","single","RdRp",NA,"roost feces","Saudi Arabia","N","Bisha","Bisha ruins","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Taphozous perforatus","Taphozous perforatus","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"993",2921,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,25,4,0.16,"Eidolon helvum","alphacoronavirus","","","","Kenya bat CoV BtKY86","single","cross-sectional","RNA","PCR","single","RdRp",NA,"fecal pellets","Saudi Arabia","N","Bisha","Bisha town center","NA","NA","2012","","",NA,"","October","Fall",NA,"N","Y","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Eidolon helvum","Eidolon helvum","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1013",2962,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,209,90,0.430622,"Rhinopoma hardwickii","alphacoronavirus","","","","canine coronavirus (5), miniopterus bat coronavirus (2), chaerephron bat coronavirus (84)","single","cross-sectional","RNA","PCR","single","RdRp",NA,"roost feces","Saudi Arabia","N","Bisha","Greater Bisha area","NA","NA","2013","","",NA,"","April","Spring",NA,"N","Y","N","","VERENA Admin","4/25/2022 8:56pm","faecal, rectal, or anal","faeces","0","0","0","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinopoma hardwickii","Rhinopoma hardwickii","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1016",1155,"middle east respiratory syndrome coronavirus in bats, saudi arabia","Memish et al.","Emerg Infect Dis",2013,263,126,0.479087,"Pipistrellus kuhlii","alphacoronavirus","","","","P.kuh-Spain (69), canine coronavirus (3), P.pyg/Germany (37), HCoV NL63 (1), Rousettus CoV HKU10 (2), porcine epidemic diarrhea virus (11), Cardioderma CoV (2), Hipposideros CoV HKU10 (1)","single","cross-sectional","RNA","PCR","single","RdRp",NA,"roost feces","Saudi Arabia","N","Unaizah","Greater Unaizah area","NA","NA","2013","","",NA,"","April","Spring",NA,"N","Y","N","","VERENA Admin","4/25/2022 9:00pm","faecal, rectal, or anal","faeces","0","0","0","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Pipistrellus kuhlii","Pipistrellus kuhlii","middle east respiratory syndrome coronavirus in bats, saudi arabia"
"1019",1160,"molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses","Waruhiu et al.","Virol Sin",2017,33,2,0.060606,"Hipposideros caffer","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faecal samples","Kenya","N","Taita","","NA","NA","","2012","November",2015,"November","","Year",NA,"N","Y, high level of human-bat interaction","Y, Astroviruses, Calicivirus, Coronavirus, Paramyxovirus, Rotavirus","","VERENA Admin","4/26/2022 2:30pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Hipposideros caffer","Hipposideros caffer","molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses"
"1020",1164,"molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses","Waruhiu et al.","Virol Sin",2017,150,22,0.146667,"Otomops martiensseni","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faecal samples","Kenya","N","Kajiado","","NA","NA","","2012","November",2015,"November","","Year",NA,"N","Y, high level of human-bat interaction","Y, Astroviruses, Calicivirus, Coronavirus, Paramyxovirus, Rotavirus","","VERENA Admin","4/26/2022 2:31pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Otomops martiensseni","Otomops martiensseni","molecular detection of viruses in kenyan bats and discovery of novel astroviruses, caliciviruses and rotaviruses"
"1029",1177,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,51,1,0.019608,"Miniopterus magnater","alphacoronavirus","","","","Bat-CoV HKU7","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","New territories","NA","NA","","2004","April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus magnater","Miniopterus magnater","molecular diversity of coronaviruses in bats"
"1030",1178,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,25,4,0.16,"Miniopterus pusillus","alphacoronavirus","","","","Bat-CoV HKU8 (n=1) and previously reported virus (n=3)","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","New territories","NA","NA","","2004","April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Miniopterus pusillus","Miniopterus pusillus","molecular diversity of coronaviruses in bats"
"1032",1180,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,23,1,0.043478,"Myotis ricketti","alphacoronavirus","","","","Bat-Cov HKU6","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","","NA","NA","","2004","April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/12/2022 2:19pm","pooled swabs/samples","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis pilosus","Myotis pilosus","molecular diversity of coronaviruses in bats"
"1036",1184,"molecular diversity of coronaviruses in bats","Woo et al.","Virology",2006,118,2,0.016949,"Rhinolophus sinicus","alphacoronavirus","","","","Bat-CoV HKU2","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"anal swab,nasopharyngeal swabs","China","N","Hong Kong","New territories, Hong Kong Island","NA","NA","","2004","April",2005,"July","","Year",NA,"N","Y, rural areas","N","","VERENA Admin","4/25/2022 2:47pm","pooled swabs/samples","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus sinicus","Rhinolophus sinicus","molecular diversity of coronaviruses in bats"
"1072",1219,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,12,1,0.083333,"Rhinolophus ferrumequinum","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","1, 2 (positive), 4, 26, 40","NA","NA","","2012","",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses"
"1073",1220,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,3,1,0.333333,"Rhinolophus hipposideros","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","2 (positive)","NA","NA","","2012","",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Rhinolophus hipposideros","Rhinolophus hipposideros","molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses"
"1081",1228,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,81,1,0.012346,"Myotis daubentonii","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","1 (positive), 2, 3, 4, 12, 13, 14, 15, 17, 18, 21, 22, 25, 27, 31, 33, 34, 37, 38, 40, 41, 43, 44","NA","NA","","2012","",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","Myotis daubentonii","molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses"
"1083",1230,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,29,1,0.034483,"Myotis myotis","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","1, 3, 4, 6, 10, 12, 13, 14 (positive), 24, 42, 45","NA","NA","","2012","",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis myotis","Myotis myotis","molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses"
"1085",1232,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,37,1,0.027027,"Myotis nattereri","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","3, 4 (positive), 10, 12, 13, 14, 15, 21, 31, 35","NA","NA","","2012","",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis nattereri","Myotis nattereri","molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses"
"1091",1238,"molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses","Kemenesi et al.","Vector Borne Zoonotic Dis",2014,6,2,0.333333,"Pipistrellus pygmaeus","alphacoronavirus","","","","","pooled","cross-sectional","RNA","RT-PCR,semi-nested RT-PCR,nested RT-PCR","multiple","RdRp",NA,"faeces","Hungary","N","","6, 19, 44 (positive)","NA","NA","","2012","",2013,"","","Year",NA,"N","Y, natural foraging habitats","Yes, AstV, CoV, CalV","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","alphacoronavirus",1,"Pipistrellus pygmaeus","Pipistrellus pygmaeus","molecular survey of rna viruses in hungarian bats: discovering novel astroviruses, coronaviruses, and caliciviruses"
"1095",1242,"new alphacoronavirus in mystacina tuberculata bats, new zealand","Hall et al.","Emerg Infect Dis",2014,4,4,1,"Mystacina tuberculata","alphacoronavirus","","","","Mystacina bat CoV/New Zealand/2013","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"guano","New Zealand","S","Whenua hou","","167°38′E","46°47′S","","2008","",2013,"","","Year",NA,"N","Y, undisturbed","N","","VERENA Admin","4/12/2022 2:19pm","faecal, rectal, or anal","faeces","1","1","1","1",-46.7833333333333,167.633333333333,"RdRp","No","No","PCR","alphacoronavirus",1,"Mystacina tuberculata","Mystacina tuberculata","new alphacoronavirus in mystacina tuberculata bats, new zealand"
