title,author,journal,year,doi,ID,study,source,exclude_title,exclude_reason,include,entered
emerging viruses: coming in on a wrinkled wing and a prayer,Halpin et al.,Clin Infect Dis,2007,10.1086/511078,380,Halpin et al. 2007 Clin Infect Dis,PubMed,Y,general review,,
emerging zoonotic diseases originating in mammals: a systematic review of effects of anthropogenic land-use change,White & Razgour,Mammal Review,2020,10.1111/mam.12201,381,White & Razgour 2020 Mammal Review,WOS,Y,general review,,
emerging zoonotic viruses: new lessons on receptor and entry mechanisms,Gerlier,Curr Opin Virol,2011,10.1016/j.coviro.2011.05.014,382,Gerlier 2011 Curr Opin Virol,PubMed,Y,general review,,
endoproteolytic processing of the ebola virus envelope glycoprotein: cleavage is not required for function,Wool-Lewis & Bates,Journal of Virology,1999,,383,Wool-Lewis & Bates 1999 Journal of Virology,CAB,Y,molecular,,
energy harvesting for marine-wildlife monitoring,Shafer & Morgan,"Proceedings of The Asme Conference On Smart Materials Adaptive Structures and Intelligent Systems, 2014, Vol 2",2014,,384,"Shafer & Morgan 2014 Proceedings of The Asme Conference On Smart Materials Adaptive Structures and Intelligent Systems, 2014, Vol 2",WOS,Y,not batcov,,
engineering t cells specific for a dominant severe acute respiratory syndrome coronavirus cd8 t cell epitope,Oh et al.,Journal of Virology,2011,10.1128/JVI.05039-11,385,Oh et al. 2011 Journal of Virology,WOS,Y,molecular,,
"enriching agroecosystems with fruit-producing tree species favors the abundance and richness of frugivorous and nectarivorous bats in veracruz, mexico",Antonio castro-luna & Galindo-gonzalez,Mammalian Biology,2012,10.1016/j.mambio.2011.06.009,386,Antonio castro-luna & Galindo-gonzalez 2012 Mammalian Biology,WOS,Y,no cov,,
enzymatic synthesis of s-adenosylmethionine using immobilized methionine adenosyltransferase variants on the 50-mm scale,Niu et al.,Catalysts,2017,10.3390/catal7080238,387,Niu et al. 2017 Catalysts,WOS,Y,molecular,,
epidemic and emerging coronaviruses (severe acute respiratory syndrome and middle east respiratory syndrome),Hui,Clin Chest Med,2017,10.1016/j.ccm.2016.11.007,388,Hui 2017 Clin Chest Med,PubMed,Y,general review,,
epidemiological analysis of covid-19 and practical experience from china,Ye et al.,J Med Virol,2020,10.1002/jmv.25813,389,Ye et al. 2020 J Med Virol,PubMed,Y,general review,,
epidemiology of covid-19 pandemic: recovery and mortality ratio around the globe,Noor et al.,Pakistan Journal of Medical Sciences,2020,10.12669/pjms.36.COVID19-S4.2660,390,Noor et al. 2020 Pakistan Journal of Medical Sciences,WOS,Y,general review,,
"epithelial cell lines of the cotton rat (sigmodon hispidus) are highly susceptible in vitro models to zoonotic bunya-, rhabdo-, and flaviviruses",Ehlen et al.,Virology Journal,2016,10.1186/s12985-016-0531-5,391,Ehlen et al. 2016 Virology Journal,WOS,Y,no bat,,
epitope mapping and cellular localization of swine acute diarrhea syndrome coronavirus nucleocapsid protein using a novel monoclonal antibody,Han et al.,Virus Res,2019,10.1016/j.virusres.2019.197752,392,Han et al. 2019 Virus Res,PubMed,Y,molecular,,
escaping pandora's box - another novel coronavirus,Morens et al.,N Engl J Med,2020,10.1056/NEJMp2002106,393,Morens et al. 2020 N Engl J Med,PubMed,Y,general review,,
"establishment of a focus on anopheles fluviatilis, an important malaria vector near the national thermal power corporation project in dadri chc area in district gautam budh nagar, uttar pradesh, india: a case study",Mittal et al.,Journal of Vector Borne Diseases,2013,,394,Mittal et al. 2013 Journal of Vector Borne Diseases,CAB,Y,not batcov,,
establishment of reverse transcription loop-mediated isothermal amplification for rapid detection and differentiation of canine distemper virus infected and vaccinated animals,Liu et al.,Infection Genetics and Evolution,2015,10.1016/j.meegid.2015.03.002,395,Liu et al. 2015 Infection Genetics and Evolution,WOS,Y,not batcov,,
"establishment, immortalisation and characterisation of pteropid bat cell lines",Crameri et al.,Plos One,2009,10.1371/journal.pone.0008266,396,Crameri et al. 2009 Plos One,WOS,Y,no cov,,
"estimating bird and bat fatality at wind farms: a practical overview of estimators, their assumptions and limitations",Bernardino et al.,New Zealand Journal of Zoology,2013,10.1080/03014223.2012.758155,397,Bernardino et al. 2013 New Zealand Journal of Zoology,WOS,Y,not batcov,,
estimating geographical variation in the risk of zoonotic plasmodium knowlesi infection in countries eliminating malaria,Shearer et al.,PLoS Neglected Tropical Diseases,2016,,398,Shearer et al. 2016 PLoS Neglected Tropical Diseases,CAB,Y,not batcov,,
ethological bases for species appropriate housing of japanese quails (coturnix japonica),Schmid & Wechsler,Appropriate Housing Systems For Farm Animals: Newer Developments and Solutions,1997,,399,Schmid & Wechsler 1997 Appropriate Housing Systems For Farm Animals: Newer Developments and Solutions,WOS,Y,not batcov,,
"etiology of epidemic outbreaks covid-19 on wuhan, hubei province, chinese people republic associated with 2019-ncov (nidovirales, coronaviridae, coronavirinae, betacoronavirus, subgenus sarbecovirus): lessons of sars-cov outbreak.",Lvov et al.,Vopr Virusol,2020,10.36233/0507-4088-2020-65-1-6-15,400,Lvov et al. 2020 Vopr Virusol,PubMed,Y,no bat,,
european bats as carriers of viruses with zoonotic potential,Kohl & Kurth,Viruses,2014,10.3390/v6083110,401,Kohl & Kurth 2014 Viruses,PubMed,Y,general review,,
european union's last intact forest landscapes are at a value chain crossroad between multiple use and intensified wood production,Jonsson et al.,Forests,2019,10.3390/f10070564,402,Jonsson et al. 2019 Forests,WOS,Y,not batcov,,
evaluating biodiversity: the batu apoi experience,Das,Ambio,1994,,403,Das 1994 Ambio,CAB,Y,not batcov,,
evaluating the regional cumulative impact of wind farms on birds: how can spatially explicit dynamic modelling improve impact assessments and monitoring?,Bastos et al.,Journal of Applied Ecology,2016,10.1111/1365-2664.12451,404,Bastos et al. 2016 Journal of Applied Ecology,WOS,Y,not batcov,,
evaluation of a global positioning system backpack transmitter for wild turkey research,Guthrie et al.,Journal of Wildlife Management,2011,10.1002/jwmg.137,405,Guthrie et al. 2011 Journal of Wildlife Management,WOS,Y,not batcov,,
evaluation of direct metagenomics and target enriched approaches for high-throughput sequencing of field rabies viruses,Orowska et al.,Journal of Veterinary Research,2019,,406,Orowska et al. 2019 Journal of Veterinary Research,CAB,Y,no cov,,
evaluation of serologic and antigenic relationships between middle eastern respiratory syndrome coronavirus and other coronaviruses to develop vaccine platforms for the rapid response to emerging coronaviruses,Agnihothram et al.,J Infect Dis,2014,10.1093/infdis/jit609,407,Agnihothram et al. 2014 J Infect Dis,PubMed,Y,molecular,,
evaluation of solar disinfection of e. coli under sub-saharan field conditions using a 25l borosilicate glass batch reactor fitted with a compound parabolic collector,Nalwanga et al.,Solar Energy,2014,10.1016/j.solener.2013.12.011,408,Nalwanga et al. 2014 Solar Energy,WOS,Y,not batcov,,
"evaporative water-loss in 2 sympatric species of vespertilionid bat, plecotus-auritus and myotis-daubentoni - relation to foraging mode and implications for roost site selection",Webb et al.,Journal of Zoology,1995,,409,Webb et al. 1995 Journal of Zoology,WOS,Y,no cov,,
evidence for ace2-utilizing coronaviruses (covs) related to severe acute respiratory syndrome cov in bats,Demogines et al.,J Virol,2012,10.1128/JVI.00311-12,410,Demogines et al. 2012 J Virol,PubMed,Y,molecular,,
evidence for an ancestral association of human coronavirus 229e with bats,Corman et al.,J Virol,2015,10.1128/JVI.01755-15,411,Corman et al. 2015 J Virol,PubMed,N,,Y,
evidence for zoonotic origins of middle east respiratory syndrome coronavirus,Han et al.,J Gen Virol,2016,10.1099/jgv.0.000342,412,Han et al. 2016 J Gen Virol,PubMed,Y,general review,,
"evidence of the migratory bat, pipistrellus nathusii, aggregating to the coastlines in the northern baltic sea",Ijas et al.,Acta Chiropterologica,2017,10.3161/15081109ACC2017.19.1.010,413,Ijas et al. 2017 Acta Chiropterologica,WOS,Y,no cov,,
evidence of the recombinant origin of a bat severe acute respiratory syndrome (sars)-like coronavirus and its implications on the direct ancestor of sars coronavirus,Hon et al.,J Virol,2008,10.1128/JVI.01926-07,414,Hon et al. 2008 J Virol,PubMed,Y,molecular,,
evidence supporting a zoonotic origin of human coronavirus strain nl63,Huynh et al.,J Virol,2012,10.1128/JVI.00906-12,415,Huynh et al. 2012 J Virol,PubMed,Y,molecular,,
"evolution of genomes, host shifts and the geographic spread of sars-cov and related coronaviruses",Janies et al.,,2008,10.1111/j.1096-0031.2008.00199.x,416,Janies et al. 2008 ,CAB,Y,molecular,,
"evolutionary history, potential intermediate animal host, and cross-species analyses of sars-cov-2",Li et al.,J Med Virol,2020,10.1002/jmv.25731,417,Li et al. 2020 J Med Virol,PubMed,Y,molecular,,
evolutionary insights into the ecology of coronaviruses,Vijaykrishna et al.,Journal of Virology,2007,10.1128/JVI.02605-06,418,Vijaykrishna et al. 2007 Journal of Virology,WOS,Y,molecular,,
evolutionary relationships between bat coronaviruses and their hosts,Cui et al.,Emerg Infect Dis,2007,10.3201/eid1310.070448,419,Cui et al. 2007 Emerg Infect Dis,PubMed,Y,molecular,,
evolving status of the 2019 novel coronavirus infection: proposal of conventional serologic assays for disease diagnosis and infection monitoring,Xiao et al.,J Med Virol,2020,10.1002/jmv.25702,420,Xiao et al. 2020 J Med Virol,PubMed,Y,general review,,
examples of the development of pharmaceutical products from medicinal plants,United Nations Development Programme/Special Unit for South-South Cooperation/Third World Academy of Sciences/Third World Network of Scientific Organizations,,2005,,421,United Nations Development Programme/Special Unit for South-South Cooperation/Third World Academy of Sciences/Third World Network of Scientific Organizations 2005 ,CAB,Y,not batcov,,
extended orf8 gene region is valuable in the epidemiological investigation of severe acute respiratory syndrome-similar coronavirus,Chen et al.,J Infect Dis,2020,10.1093/infdis/jiaa278,422,Chen et al. 2020 J Infect Dis,PubMed,Y,molecular,,
extension of the known distribution of a novel clade c betacoronavirus in a wildlife host,Saldanha et al.,Epidemiology and Infection,2019,10.1017/S0950268819000207,423,Saldanha et al. 2019 Epidemiology and Infection,WOS,Y,no bat,,
extensive diversity of coronaviruses in bats from china,Lin et al.,Virology,2017,10.1016/j.virol.2017.03.019,424,Lin et al. 2017 Virology,PubMed,N,,Y,
extensive positive selection drives the evolution of nonstructural proteins in lineage c betacoronaviruses,Forni et al.,Journal of Virology,2016,10.1128/JVI.02988-15,425,Forni et al. 2016 Journal of Virology,CAB,Y,molecular,,
extreme contagion in global habitat clearance,Boakes et al.,Proceedings of The Royal Society B-biological Sciences,2010,10.1098/rspb.2009.1771,426,Boakes et al. 2010 Proceedings of The Royal Society B-biological Sciences,WOS,Y,not batcov,,
extreme genomic cpg deficiency in sars-cov-2 and evasion of host antiviral defense,Xia,Mol Biol Evol,2020,10.1093/molbev/msaa094,427,Xia 2020 Mol Biol Evol,PubMed,Y,molecular,,
eyes on the ocean applying operational technology to enable science,O'neil et al.,Oceans 2015 - Mts/ieee Washington,2015,,428,O'neil et al. 2015 Oceans 2015 - Mts/ieee Washington,WOS,Y,not batcov,,
factors affecting acoustic detection and site occupancy of indiana bats near a known maternity colony,Kaiser & O'keefe,Journal of Mammalogy,2015,10.1093/jmammal/gyv036,429,Kaiser & O'keefe 2015 Journal of Mammalogy,WOS,Y,no cov,,
factors associated with bat mortality at wind energy facilities in the united states,Thompson et al.,Biological Conservation,2017,10.1016/j.biocon.2017.09.014,430,Thompson et al. 2017 Biological Conservation,WOS,Y,no cov,,
factors limiting early life stage survival and growth during endangered wyoming toad reintroductions,Polasik et al.,Journal of Wildlife Management,2016,10.1002/jwmg.1031,431,Polasik et al. 2016 Journal of Wildlife Management,WOS,Y,not batcov,,
fatal swine acute diarrhoea syndrome caused by an hku2-related coronavirus of bat origin,Zhou et al.,Nature,2018,10.1038/s41586-018-0010-9,432,Zhou et al. 2018 Nature,WOS,N,,Y,
feature selection methods for identifying genetic determinants of host species in rna viruses,Aguas & Ferguson,Plos Computational Biology,2013,10.1371/journal.pcbi.1003254,433,Aguas & Ferguson 2013 Plos Computational Biology,WOS,Y,molecular,,
filoviruses,Towner et al.,,2011,,434,Towner et al. 2011 ,CAB,Y,general review,,
fire and lichen dynamics in the taiga shield of the northwest territories and implications for barren-ground caribou winter forage,Lewis et al.,Journal of Vegetation Science,2019,10.1111/jvs.12736,435,Lewis et al. 2019 Journal of Vegetation Science,WOS,Y,not batcov,,
"fire effects on wildlife in the central hardwoods and appalachian regions, usa",Harper et al.,Fire Ecology,2016,10.4996/fireecology.1202127,436,Harper et al. 2016 Fire Ecology,WOS,Y,not batcov,,
first report of coronaviruses in northern european bats,Kivistö et al.,Vector Borne Zoonotic Dis,2020,10.1089/vbz.2018.2367,437,Kivistö et al. 2020 Vector Borne Zoonotic Dis,PubMed,N,,Y,
first respiratory transmitted food borne outbreak?,Jalava,Int J Hyg Environ Health,2020,10.1016/j.ijheh.2020.113490,438,Jalava 2020 Int J Hyg Environ Health,PubMed,Y,not batcov,,
focus on middle east respiratory syndrome coronavirus (mers-cov),Bleibtreu et al.,Med Mal Infect,2020,10.1016/j.medmal.2019.10.004,439,Bleibtreu et al. 2020 Med Mal Infect,PubMed,Y,general review,,
food preferences of winter bird communities in different forest types,Renner et al.,PLoS ONE,2012,10.1371/journal.pone.0053121,440,Renner et al. 2012 PLoS ONE,CAB,Y,not batcov,,
"foraged, trapped and hunted foods in valappur nadu of kolli hills, tamil nadu",Kalaiselvan et al.,International Journal of Sociology of Agriculture and Food,2017,,441,Kalaiselvan et al. 2017 International Journal of Sociology of Agriculture and Food,CAB,Y,not batcov,,
foraging strategies of southern sea lion females in the la plata river estuary (argentina-uruguay),Rodriguez et al.,Deep-sea Research Part Ii-topical Studies In Oceanography,2013,10.1016/j.dsr2.2012.07.012,442,Rodriguez et al. 2013 Deep-sea Research Part Ii-topical Studies In Oceanography,WOS,Y,not batcov,,
fork-tailed drongos use deceptive mimicked alarm calls to steal food,Flower,Proceedings of The Royal Society B-biological Sciences,2011,10.1098/rspb.2010.1932,443,Flower 2011 Proceedings of The Royal Society B-biological Sciences,WOS,Y,not batcov,,
"fountains of youth: medical tourism in green cove springs, florida, 1845-1900",Hause,Journal of Tourism History,2016,10.1080/1755182X.2016.1243157,444,Hause 2016 Journal of Tourism History,WOS,Y,not batcov,,
fourier-transform mass spectrometry for automated fragmentation and identification of 5-20 kda proteins in mixtures,Johnson et al.,Electrophoresis,2002,10.1002/1522-2683(200209)23:18<3217::AID-ELPS3217>3.0.CO;2-K,445,Johnson et al. 2002 Electrophoresis,WOS,Y,not batcov,,
"free dna, a reason for severe covid-19 infection?",Liu,Med Hypotheses,2020,10.1016/j.mehy.2020.109812,446,Liu 2020 Med Hypotheses,PubMed,Y,general review,,
free-living animals as a source of zoonotic microorganisms,Zmudzki,Medycyna Weterynaryjna,2017,10.21521/mw.5656,447,Zmudzki 2017 Medycyna Weterynaryjna,CAB,Y,general review,,
