"","title","author","journal","year","doi","ID","study","source","exclude_title","exclude_reason","include","entered"
"2:322","discovery and genetic analysis of novel coronaviruses in least horseshoe bats in southwestern china","Wang et al.","Emerg Microbes Infect",2017,"10.1038/emi.2016.140",336,"Wang et al. 2017 Emerg Microbes Infect","PubMed","","","",""
"3:225","discovery of a highly divergent coronavirus in the asian house shrew from china illuminates the origin of the alphacoronaviruses","Wang Wen et al.","Journal of Virology",2017,"10.1128/jvi.00764-17",337,"Wang Wen et al. 2017 Journal of Virology","CAB","","","",""
"2:253","discovery of a novel swine enteric alphacoronavirus (seacov) in southern china","Pan et al.","Vet Microbiol",2017,"10.1016/j.vetmic.2017.09.020",338,"Pan et al. 2017 Vet Microbiol","PubMed","","","",""
"2:35","discovery of a rich gene pool of bat sars-related coronaviruses provides new insights into the origin of sars coronavirus","Hu et al.","Plos Pathog",2017,"10.1371/journal.ppat.1006698",339,"Hu et al. 2017 Plos Pathog","PubMed","","","",""
"2:132","discovery of bat coronaviruses through surveillance and probe capture-based next-generation sequencing","Li et al.","Msphere",2020,"10.1128/mSphere.00807-19",340,"Li et al. 2020 Msphere","PubMed","","","",""
"1:161","discovery of novel alphacoronaviruses in european rodents and shrews","Tsoleridis et al.","Viruses-basel",2016,"10.3390/v8030084",341,"Tsoleridis et al. 2016 Viruses-basel","WOS","","","",""
"2:72","discovery of novel bat coronaviruses in south china that use the same receptor as middle east respiratory syndrome coronavirus","Luo et al.","J Virol",2018,"10.1128/JVI.00116-18",342,"Luo et al. 2018 J Virol","PubMed","","","",""
"3:144","discovery of novel fungal species and pathogens on bat carcasses in a cave in yunnan province, china","Karunarathna et al.","Emerging Microbes and Infections",2020,"10.1080/22221751.2020.1785333",343,"Karunarathna et al. 2020 Emerging Microbes and Infections","CAB","","","",""
"2:119","discovery of seven novel mammalian and avian coronaviruses in the genus deltacoronavirus supports bat coronaviruses as the gene source of alphacoronavirus and betacoronavirus and avian coronaviruses as the gene source of gammacoronavirus and deltacoronavirus","Woo et al.","J Virol",2012,"10.1128/JVI.06540-11",344,"Woo et al. 2012 J Virol","PubMed","","","",""
"1:72","discovery, diversity and evolution of novel coronaviruses sampled from rodents in china","Wang et al.","Virology",2015,"10.1016/j.virol.2014.10.017",345,"Wang et al. 2015 Virology","WOS","","","",""
"1:314","disease risk from human-environment interactions: environment and development economics for joint conservation-health policy","Albers et al.","Environmental & Resource Economics",2020,"10.1007/s10640-020-00449-6",346,"Albers et al. 2020 Environmental & Resource Economics","WOS","","","",""
"1:66","disease risk in temperate amphibian populations is higher at closed-canopy sites","Becker et al.","Plos One",2012,"10.1371/journal.pone.0048205",347,"Becker et al. 2012 Plos One","WOS","","","",""
"2:353","distant relatives of severe acute respiratory syndrome coronavirus and close relatives of human coronavirus 229e in bats, ghana","Pfefferle et al.","Emerg Infect Dis",2009,"10.3201/eid1509.090224",348,"Pfefferle et al. 2009 Emerg Infect Dis","PubMed","","","",""
"1:248","distribution of bat-borne viruses and environment patterns","Afelt et al.","Infection Genetics and Evolution",2018,"10.1016/j.meegid.2017.12.009",349,"Afelt et al. 2018 Infection Genetics and Evolution","WOS","","","",""
"1:103","diversity of coronavirus in bats from eastern thailand","Wacharapluesadee et al.","Virology Journal",2015,"10.1186/s12985-015-0289-1",350,"Wacharapluesadee et al. 2015 Virology Journal","WOS","","","",""
"1:265","diversity, population structure, and evolution of local peach cultivars in china identified by simple sequence repeats","Shen et al.","Genetics and Molecular Research",2015,"10.4238/2015.January.15.13",351,"Shen et al. 2015 Genetics and Molecular Research","WOS","","","",""
"1:188","do green roofs provide habitat for bats in urban areas?","Pearce & Walters","Acta Chiropterologica",2012,"10.3161/150811012X661774",352,"Pearce & Walters 2012 Acta Chiropterologica","WOS","","","",""
"1:249","drodvir: a resource for exploring the virome diversity in rodents","Chen et al.","Journal of Genetics and Genomics",2017,"10.1016/j.jgg.2017.04.004",353,"Chen et al. 2017 Journal of Genetics and Genomics","WOS","","","",""
"3:334","e-dna sensor of mycobacterium tuberculosis based on electrochemical assembly of nanomaterials (mwcnts/ppy/pamam)","Miodek et al.","Analytical Chemistry (Washington)",2015,"10.1021/acs.analchem.5b01761",354,"Miodek et al. 2015 Analytical Chemistry (Washington)","CAB","","","",""
"3:305","eastern equine encephalomyelitis, western equine encephalomyelitis and venezuelan equine encephalomyelitis","USA & USA","",2008,"",355,"USA & USA 2008 ","CAB","","","",""
"3:309","ebola virus infection: epidemiology, clinical features and laboratory diagnosis","Vorou & Papadogiannakis","Acta Microbiologica Hellenica",2016,"",356,"Vorou & Papadogiannakis 2016 Acta Microbiologica Hellenica","CAB","","","",""
"1:374","eco-virological preliminary study of potentially emerging pathogens in hedgehogs (erinaceus europaeus) recovered at a wildlife treatment and rehabilitation center in northern italy","Delogu et al.","Animals",2020,"10.3390/ani10030407",357,"Delogu et al. 2020 Animals","WOS","","","",""
"2:289","ecoepidemiology and complete genome comparison of different strains of severe acute respiratory syndrome-related rhinolophus bat coronavirus in china reveal bats as a reservoir for acute, self-limiting infection that allows recombination events","Lau et al.","J Virol",2010,"10.1128/JVI.02219-09",358,"Lau et al. 2010 J Virol","PubMed","","","",""
"1:12","ecological dynamics of emerging bat virus spillover","Plowright et al.","Proceedings of The Royal Society B-biological Sciences",2015,"10.1098/rspb.2014.2124",359,"Plowright et al. 2015 Proceedings of The Royal Society B-biological Sciences","WOS","","","",""
"3:211","ecology of zoonotic infectious diseases in bats: current knowledge and future directions","Hayman et al.","Zoonoses and Public Health",2013,"10.1111/zph.12000",360,"Hayman et al. 2013 Zoonoses and Public Health","CAB","","","",""
"2:40","ecology, evolution and classification of bat coronaviruses in the aftermath of sars","Drexler et al.","Antiviral Res",2014,"10.1016/j.antiviral.2013.10.013",361,"Drexler et al. 2014 Antiviral Res","PubMed","","","",""
"1:44","effect of metal ion concentration on the biosorption of pb2+ and cd2+ by caladium bicolor (wild cocoyam)","Horsfall & Spiff","African Journal of Biotechnology",2005,"",362,"Horsfall & Spiff 2005 African Journal of Biotechnology","WOS","","","",""
"1:41","effects of amphibian chytrid fungus on individual survival probability in wild boreal toads","Pilliod et al.","Conservation Biology",2010,"10.1111/j.1523-1739.2010.01506.x",363,"Pilliod et al. 2010 Conservation Biology","WOS","","","",""
"3:345","effects of different temperature regimens on the development of aedes aegypti (l) (diptera: culicidae) mosquitoes","Mohammed & Chadee","Acta Tropica",2011,"10.1016/j.actatropica.2011.04.004",364,"Mohammed & Chadee 2011 Acta Tropica","CAB","","","",""
"1:88","effects of land-cover changes on mammals in a neotropical region: a modeling approach","Cuaron","Conservation Biology",2000,"10.1046/j.1523-1739.2000.99211.x",365,"Cuaron 2000 Conservation Biology","WOS","","","",""
"1:290","effects of stocking density on dispersal behavior of brazilian freshwater dourado (salminus brasiliensis) in a subtropical river headwater","Schulz & Leal","Neotropical Ichthyology",2012,"10.1590/S1679-62252012005000001",366,"Schulz & Leal 2012 Neotropical Ichthyology","WOS","","","",""
"1:64","effects of white-tailed deer on vegetation structure and woody seedling composition in three forest types on the piedmont plateau","Rossell et al.","Forest Ecology and Management",2005,"10.1016/j.foreco.2005.02.035",367,"Rossell et al. 2005 Forest Ecology and Management","WOS","","","",""
"2:381","efficient replication of the novel human betacoronavirus emc on primary human epithelium highlights its zoonotic potential","Kindler et al.","Mbio",2013,"10.1128/mBio.00611-12",368,"Kindler et al. 2013 Mbio","PubMed","","","",""
"2:244","efficient reverse genetic systems for rapid genetic manipulation of emergent and preemergent infectious coronaviruses","Cockrell et al.","Methods Mol Biol",2017,"10.1007/978-1-4939-6964-7_5",369,"Cockrell et al. 2017 Methods Mol Biol","PubMed","","","",""
"1:408","el toro wilderness, luquillo experimental forest, puerto rico","Weaver","Science and Stewardship to Protect and Sustain Wilderness Values",2011,"",370,"Weaver 2011 Science and Stewardship to Protect and Sustain Wilderness Values","WOS","","","",""
"2:10","emergence of a novel coronavirus, severe acute respiratory syndrome coronavirus 2: biology and therapeutic options","Khan et al.","J Clin Microbiol",2020,"10.1128/JCM.00187-20",371,"Khan et al. 2020 J Clin Microbiol","PubMed","","","",""
"2:291","emergence of a novel human coronavirus threatening human health","Poon & Peiris","Nat Med",2020,"10.1038/s41591-020-0796-5",372,"Poon & Peiris 2020 Nat Med","PubMed","","","",""
"2:47","emerging and re-emerging coronaviruses in pigs","Wang et al.","Curr Opin Virol",2019,"10.1016/j.coviro.2018.12.001",373,"Wang et al. 2019 Curr Opin Virol","PubMed","","","",""
"1:323","emerging and re-emerging human infectious diseases: a systematic review of the role of wild animals with a focus on public health impact","Cupertino et al.","Asian Pacific Journal of Tropical Medicine",2020,"10.4103/1995-7645.277535",374,"Cupertino et al. 2020 Asian Pacific Journal of Tropical Medicine","WOS","","","",""
"1:4","emerging coronaviruses: genome structure, replication, and pathogenesis","Chen et al.","Journal of Medical Virology",2020,"10.1002/jmv.25681",375,"Chen et al. 2020 Journal of Medical Virology","WOS","","","",""
"1:286","emerging foodborne and agriculture-related viruses","Kingsley","Microbiology Spectrum",2016,"10.1128/microbiolspec.PFS-0007-2014",376,"Kingsley 2016 Microbiology Spectrum","WOS","","","",""
"3:34","emerging infectious disease from bats","Danaisawat & Hengpraprom","Veterinary Integrative Sciences",2018,"",377,"Danaisawat & Hengpraprom 2018 Veterinary Integrative Sciences","CAB","","","",""
"3:234","emerging nidovirus infections","Poon","",2008,"",378,"Poon 2008 ","CAB","","","",""
"1:61","emerging novel coronavirus (2019-ncov)-current scenario, evolutionary perspective based on genome analysis and recent developments","Malik et al.","Veterinary Quarterly",2020,"10.1080/01652176.2020.1727993",379,"Malik et al. 2020 Veterinary Quarterly","WOS","","","",""
"2:407","emerging viruses: coming in on a wrinkled wing and a prayer","Halpin et al.","Clin Infect Dis",2007,"10.1086/511078",380,"Halpin et al. 2007 Clin Infect Dis","PubMed","","","",""
"1:273","emerging zoonotic diseases originating in mammals: a systematic review of effects of anthropogenic land-use change","White & Razgour","Mammal Review",2020,"10.1111/mam.12201",381,"White & Razgour 2020 Mammal Review","WOS","","","",""
"2:413","emerging zoonotic viruses: new lessons on receptor and entry mechanisms","Gerlier","Curr Opin Virol",2011,"10.1016/j.coviro.2011.05.014",382,"Gerlier 2011 Curr Opin Virol","PubMed","","","",""
"3:361","endoproteolytic processing of the ebola virus envelope glycoprotein: cleavage is not required for function","Wool-Lewis & Bates","Journal of Virology",1999,"",383,"Wool-Lewis & Bates 1999 Journal of Virology","CAB","","","",""
"1:405","energy harvesting for marine-wildlife monitoring","Shafer & Morgan","Proceedings of The Asme Conference On Smart Materials Adaptive Structures and Intelligent Systems, 2014, Vol 2",2014,"",384,"Shafer & Morgan 2014 Proceedings of The Asme Conference On Smart Materials Adaptive Structures and Intelligent Systems, 2014, Vol 2","WOS","","","",""
"1:109","engineering t cells specific for a dominant severe acute respiratory syndrome coronavirus cd8 t cell epitope","Oh et al.","Journal of Virology",2011,"10.1128/JVI.05039-11",385,"Oh et al. 2011 Journal of Virology","WOS","","","",""
"1:113","enriching agroecosystems with fruit-producing tree species favors the abundance and richness of frugivorous and nectarivorous bats in veracruz, mexico","Antonio castro-luna & Galindo-gonzalez","Mammalian Biology",2012,"10.1016/j.mambio.2011.06.009",386,"Antonio castro-luna & Galindo-gonzalez 2012 Mammalian Biology","WOS","","","",""
"1:348","enzymatic synthesis of s-adenosylmethionine using immobilized methionine adenosyltransferase variants on the 50-mm scale","Niu et al.","Catalysts",2017,"10.3390/catal7080238",387,"Niu et al. 2017 Catalysts","WOS","","","",""
"2:110","epidemic and emerging coronaviruses (severe acute respiratory syndrome and middle east respiratory syndrome)","Hui","Clin Chest Med",2017,"10.1016/j.ccm.2016.11.007",388,"Hui 2017 Clin Chest Med","PubMed","","","",""
"2:146","epidemiological analysis of covid-19 and practical experience from china","Ye et al.","J Med Virol",2020,"10.1002/jmv.25813",389,"Ye et al. 2020 J Med Virol","PubMed","","","",""
"1:369","epidemiology of covid-19 pandemic: recovery and mortality ratio around the globe","Noor et al.","Pakistan Journal of Medical Sciences",2020,"10.12669/pjms.36.COVID19-S4.2660",390,"Noor et al. 2020 Pakistan Journal of Medical Sciences","WOS","","","",""
"1:262","epithelial cell lines of the cotton rat (sigmodon hispidus) are highly susceptible in vitro models to zoonotic bunya-, rhabdo-, and flaviviruses","Ehlen et al.","Virology Journal",2016,"10.1186/s12985-016-0531-5",391,"Ehlen et al. 2016 Virology Journal","WOS","","","",""
"2:182","epitope mapping and cellular localization of swine acute diarrhea syndrome coronavirus nucleocapsid protein using a novel monoclonal antibody","Han et al.","Virus Res",2019,"10.1016/j.virusres.2019.197752",392,"Han et al. 2019 Virus Res","PubMed","","","",""
"2:287","escaping pandora's box - another novel coronavirus","Morens et al.","N Engl J Med",2020,"10.1056/NEJMp2002106",393,"Morens et al. 2020 N Engl J Med","PubMed","","","",""
